file	line	receiver	name	signature
anim.go	30		newAnimFrame	func newAnimFrame()
anim.go	45		ReadAnimFrame	func ReadAnimFrame(line string)
anim.go	203		newAnimation	func newAnimation(sff *Sff, pal *PaletteList)
anim.go	222		ReadAnimation	func ReadAnimation(sff *Sff, pal *PaletteList, lines []string, i *int)
anim.go	367		ReadAction	func ReadAction(sff *Sff, pal *PaletteList, lines []string, i *int)
anim.go	389	(a *Animation)	Reset	func (a *Animation) Reset()
anim.go	396	(a *Animation)	isBlank	func (a *Animation) isBlank()
anim.go	400	(a *Animation)	isCommonFX	func (a *Animation) isCommonFX()
anim.go	409	(a *Animation)	AnimTime	func (a *Animation) AnimTime()
anim.go	413	(a *Animation)	AnimElemTime	func (a *Animation) AnimElemTime(elem int32)
anim.go	428	(a *Animation)	AnimElemNo	func (a *Animation) AnimElemNo(time int32)
anim.go	473	(a *Animation)	GetLength	func (a *Animation) GetLength()
anim.go	493	(a *Animation)	curFrame	func (a *Animation) curFrame()
anim.go	497	(a *Animation)	CurrentFrame	func (a *Animation) CurrentFrame()
anim.go	504	(a *Animation)	drawFrame	func (a *Animation) drawFrame()
anim.go	511	(a *Animation)	SetAnimElem	func (a *Animation) SetAnimElem(elem, elemtime int32)
anim.go	544	(a *Animation)	animSeek	func (a *Animation) animSeek(elem int32)
anim.go	573	(a *Animation)	UpdateSprite	func (a *Animation) UpdateSprite()
anim.go	639	(a *Animation)	UpdateInterpolation	func (a *Animation) UpdateInterpolation()
anim.go	706	(a *Animation)	Action	func (a *Animation) Action()
anim.go	753	(a *Animation)	alphaToBlend	func (a *Animation) alphaToBlend()
anim.go	782	(a *Animation)	pal	func (a *Animation) pal(pfx *PalFX)
anim.go	813	(a *Animation)	drawSub1	func (a *Animation) drawSub1(angle, facing float32)
anim.go	1075		NewAnimationTable	func NewAnimationTable()
anim.go	1081	(at AnimationTable)	readAction	func (at AnimationTable) readAction(sff *Sff, pal *PaletteList, lines []string, i *int, log bool)
anim.go	1123	(at AnimationTable)	get	func (at AnimationTable) get(no int32)
anim.go	1134	(at AnimationTable)	resolveCopyAction	func (at AnimationTable) resolveCopyAction()
anim.go	1201		newSpriteData	func newSpriteData()
anim.go	1209	(sd *SpriteData)	isBlank	func (sd *SpriteData) isBlank()
anim.go	1215	(dl *DrawList)	add	func (dl *DrawList) add(sd *SpriteData)
anim.go	1228	(dl DrawList)	draw	func (dl DrawList) draw(layerno int32, under bool, cameraX, cameraY, cameraScl float32)
anim.go	1391		newShadowSprite	func newShadowSprite()
anim.go	1403	(sl *ShadowList)	add	func (sl *ShadowList) add(ss *ShadowSprite)
anim.go	1432	(sl ShadowList)	draw	func (sl ShadowList) draw(x, y, scl float32)
anim.go	1648		newReflectionSprite	func newReflectionSprite()
anim.go	1659	(rl *ReflectionList)	add	func (rl *ReflectionList) add(rs *ReflectionSprite)
anim.go	1673	(rl ReflectionList)	draw	func (rl ReflectionList) draw(x, y, scl float32)
anim.go	1934		NewAnim	func NewAnim(sff *Sff, action string)
anim.go	1958	(a *Anim)	Copy	func (a *Anim) Copy()
anim.go	2051	(a *Animation)	ShallowCopy	func (a *Animation) ShallowCopy()
anim.go	2060	(a *Anim)	SetTile	func (a *Anim) SetTile(x, y, sx, sy int32)
anim.go	2064	(a *Anim)	SetColorKey	func (a *Anim) SetColorKey(mask int16)
anim.go	2068	(a *Anim)	SetAlpha	func (a *Anim) SetAlpha(src, dst int16)
anim.go	2072	(a *Anim)	SetLocalcoord	func (a *Anim) SetLocalcoord(lx, ly float32)
anim.go	2084	(a *Anim)	SetPos	func (a *Anim) SetPos(x, y float32)
anim.go	2091	(a *Anim)	AddPos	func (a *Anim) AddPos(x, y float32)
anim.go	2096	(a *Anim)	SetScale	func (a *Anim) SetScale(xscl, yscl float32)
anim.go	2103	(a *Anim)	SetWindow	func (a *Anim) SetWindow(window [4]float32)
anim.go	2128	(a *Anim)	SetVelocity	func (a *Anim) SetVelocity(xvel, yvel float32)
anim.go	2136	(a *Anim)	SetMaxDist	func (a *Anim) SetMaxDist(x, y float32)
anim.go	2141	(a *Anim)	SetAccel	func (a *Anim) SetAccel(xacc, yacc float32)
anim.go	2146	(a *Anim)	updateVel	func (a *Anim) updateVel()
anim.go	2194	(a *Anim)	Update	func (a *Anim) Update(force bool)
anim.go	2213	(a *Anim)	Draw	func (a *Anim) Draw(ln int16)
anim.go	2235	(a *Anim)	Reset	func (a *Anim) Reset()
anim.go	2255	(a *Anim)	GetLength	func (a *Anim) GetLength()
anim.go	2264		NewPreloadedAnims	func NewPreloadedAnims()
anim.go	2268	(pa PreloadedAnims)	get	func (pa PreloadedAnims) get(grp, idx int32)
anim.go	2278	(pa PreloadedAnims)	addAnim	func (pa PreloadedAnims) addAnim(anim *Animation, no int32)
anim.go	2282	(pa PreloadedAnims)	addSprite	func (pa PreloadedAnims) addSprite(sff *Sff, grp, idx uint16)
anim.go	2294	(pa PreloadedAnims)	updateSff	func (pa PreloadedAnims) updateSff(sff *Sff)
bytecode.go	88	(UndefinedFormatter)	Format	func (UndefinedFormatter) Format(f fmt.State, verb rune)
bytecode.go	1056		NewStringPool	func NewStringPool()
bytecode.go	1060	(sp *StringPool)	Clear	func (sp *StringPool) Clear()
bytecode.go	1064	(sp *StringPool)	Add	func (sp *StringPool) Add(s string)
bytecode.go	1079	(bv BytecodeValue)	IsNone	func (bv BytecodeValue) IsNone()
bytecode.go	1083	(bv BytecodeValue)	IsUndefined	func (bv BytecodeValue) IsUndefined()
bytecode.go	1087	(bv BytecodeValue)	ToF	func (bv BytecodeValue) ToF()
bytecode.go	1095	(bv BytecodeValue)	ToI	func (bv BytecodeValue) ToI()
bytecode.go	1102	(bv BytecodeValue)	ToI64	func (bv BytecodeValue) ToI64()
bytecode.go	1109	(bv BytecodeValue)	ToB	func (bv BytecodeValue) ToB()
bytecode.go	1116	(bv BytecodeValue)	ToAny	func (bv BytecodeValue) ToAny()
bytecode.go	1126	(bv *BytecodeValue)	SetF	func (bv *BytecodeValue) SetF(f float32)
bytecode.go	1134	(bv *BytecodeValue)	SetI	func (bv *BytecodeValue) SetI(i int32)
bytecode.go	1138	(bv *BytecodeValue)	SetI64	func (bv *BytecodeValue) SetI64(i int64)
bytecode.go	1142	(bv *BytecodeValue)	SetB	func (bv *BytecodeValue) SetB(b bool)
bytecode.go	1147		bvNone	func bvNone()
bytecode.go	1151		BytecodeUndefined	func BytecodeUndefined()
bytecode.go	1155		BytecodeFloat	func BytecodeFloat(f float32)
bytecode.go	1162		BytecodeInt	func BytecodeInt(i int32)
bytecode.go	1166		BytecodeInt64	func BytecodeInt64(i int64)
bytecode.go	1170		BytecodeBool	func BytecodeBool(b bool)
bytecode.go	1176	(bs *BytecodeStack)	Clear	func (bs *BytecodeStack) Clear()
bytecode.go	1180	(bs *BytecodeStack)	Push	func (bs *BytecodeStack) Push(bv BytecodeValue)
bytecode.go	1184	(bs *BytecodeStack)	PushI	func (bs *BytecodeStack) PushI(i int32)
bytecode.go	1188	(bs *BytecodeStack)	PushI64	func (bs *BytecodeStack) PushI64(i int64)
bytecode.go	1192	(bs *BytecodeStack)	PushF	func (bs *BytecodeStack) PushF(f float32)
bytecode.go	1196	(bs *BytecodeStack)	PushB	func (bs *BytecodeStack) PushB(b bool)
bytecode.go	1200	(bs BytecodeStack)	Top	func (bs BytecodeStack) Top()
bytecode.go	1209	(bs *BytecodeStack)	Pop	func (bs *BytecodeStack) Pop()
bytecode.go	1221	(bs *BytecodeStack)	Dup	func (bs *BytecodeStack) Dup()
bytecode.go	1225	(bs *BytecodeStack)	Swap	func (bs *BytecodeStack) Swap()
bytecode.go	1229	(bs *BytecodeStack)	Alloc	func (bs *BytecodeStack) Alloc(size int)
bytecode.go	1245		Float32frombytes	func Float32frombytes(bytes []byte)
bytecode.go	1251	(be *BytecodeExp)	append	func (be *BytecodeExp) append(op ...OpCode)
bytecode.go	1255	(be *BytecodeExp)	appendValue	func (be *BytecodeExp) appendValue(bv BytecodeValue)
bytecode.go	1292	(be *BytecodeExp)	appendI32s	func (be *BytecodeExp) appendI32s(addrs ...int32)
